SINGLE;GREEDY_15;GREEDY_30
166.708;114.097;106.258
111.785;102.673;102.737
134.534;107.058;102.131
221.71;126.901;129.67
181.716;114.531;110.142
187.792;108.672;119.347
109.015;101.82;102.881
153.469;111.78;105.086
158.703;111.433;108.91
112.965;103.223;107.711
160.447;112.353;119.544
139.969;105.411;102.057
144.112;113.995;104.679
101.156;99.0085;102.541
198.112;123.723;103.659
207.039;123.935;107.303
121.999;106.63;103.8
135.822;104.575;104.239
199.946;113.42;109.81
204.238;110.355;110.31
125.732;104.317;104.258
103.169;102.542;104.002
172.46;124.301;118.055
151.67;125.653;110.265
102.861;98.662;101.005
119.341;107.632;106.622
165.77;130.123;112.659
142.944;125.775;115.099
125.211;113.755;108.664
158.14;112.241;108.446
151.177;109.325;109.547
243.404;117.535;112.991
196.634;108.698;107.482
143.009;112.301;111.023
189.896;140.226;115.096
120.107;105.146;103.068
132.858;112.67;109.663
108.904;101.114;102.189
189.517;104.338;103.015
159.75;116.86;115.31
136.572;107.352;102.737
159.715;106.111;106.354
102.188;100.205;101.539
102.436;101.46;102.936
107.681;104.088;103.723
132.366;106.765;103.034
110.979;105.014;107.212
102.751;108.039;104.136
216.698;126.204;112.823
200.041;119.669;104.496
